,keto
apple,no
apple_cider,no
apricot,yes
avocado,yes
banana,no
basil,yes
bean,no
beef,yes
blueberry,yes
butter,yes
butterfish,yes
carrot,no
cauliflower,yes
chia,yes
chicken,yes
coffee,yes
corn,no
corn husk,no
cream,yes
cucumber,no
egg_chicken,yes
fish_undetermined,yes
grain_fermented,no
grape,no
grape_fermented,no
herring,yes
lemon,yes
lentil,no
lettuce,yes
mackerel,yes
mandarin,no
melon,no
milk_cow,yes
mushroom,yes
oat,no
onion,no
orange,no
passionfruit,no
peach,no
pear,no
pepper,no
pig,yes
quinoa,no
rice,no
rosemary,yes
seaweed,yes
smelt,yes
soda,no
squid,yes
strawberry,no
tea,yes
tomato,no
trout,yes
veal,yes
walnut,no
wheat,no
yogurt_cow,yes